Schedule,Budget,Risk_1,Risk_2,Risk_3,Project_Risk,Complexity,Type,Overrun
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,yes,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,large,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,high,easy,A,acceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,no,no,yes,high,easy,A,acceptable
short,small,no,yes,yes,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,yes,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,no,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,acceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,no,no,no,low,easy,A,acceptable
large,small,no,no,no,low,hard,A,acceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,no,yes,no,medium,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,no,no,no,medium,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,large,yes,yes,yes,high,easy,A,acceptable
short,small,no,no,yes,low,easy,A,acceptable
short,large,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,acceptable
short,small,no,yes,yes,low,easy,A,acceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,yes,no,no,medium,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,acceptable
short,small,no,no,yes,high,hard,A,acceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,no,yes,yes,high,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,no,no,no,low,easy,A,acceptable
short,large,no,no,no,low,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,acceptable
short,small,no,no,yes,low,hard,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,no,no,yes,low,easy,A,acceptable
short,large,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,unacceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,high,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,no,no,medium,easy,A,acceptable
short,small,yes,no,no,medium,easy,A,acceptable
short,small,no,no,yes,high,hard,A,unacceptable
short,small,yes,yes,no,medium,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,no,yes,yes,high,hard,A,unacceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,no,yes,yes,high,hard,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,large,yes,yes,yes,high,hard,A,unacceptable
short,large,yes,yes,yes,high,easy,A,acceptable
short,small,no,no,yes,low,hard,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,no,no,medium,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,no,no,no,medium,easy,A,acceptable
short,large,no,no,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
large,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,large,yes,yes,yes,high,easy,A,unacceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,yes,low,hard,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,no,yes,yes,low,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,no,no,medium,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
large,small,yes,no,no,medium,easy,A,unacceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,no,no,yes,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,large,yes,yes,no,low,easy,A,acceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,no,no,medium,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,no,no,low,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,acceptable
short,small,yes,yes,yes,high,hard,A,unacceptable
short,small,no,yes,yes,high,hard,A,unacceptable
short,small,no,yes,yes,low,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,no,no,medium,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,unacceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,no,no,low,easy,A,acceptable
short,large,yes,yes,yes,high,easy,A,unacceptable
short,large,yes,yes,no,low,easy,A,acceptable
short,small,yes,yes,no,high,easy,A,unacceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,no,no,low,easy,A,acceptable
short,large,yes,yes,yes,high,easy,A,unacceptable
short,small,no,no,no,low,easy,A,acceptable
short,small,yes,yes,no,low,easy,A,acceptable
short,small,yes,yes,yes,high,easy,A,unacceptable
short,small,yes,yes,no,medium,easy,A,acceptable
short,small,yes,yes,no,medium,easy,A,acceptable
