"GoodStudent","Age","SocioEcon","RiskAversion","VehicleYear","ThisCarDam","RuggedAuto","Accident","MakeModel","DrivQuality","Mileage","Antilock","DrivingSkill","SeniorTrain","ThisCarCost","Theft","CarValue","HomeBase","AntiTheft","PropCost","OtherCarCost","OtherCar","MedCost","Cushioning","Airbag","ILiCost","DrivHist"
"False","Adolescent","Middle","Cautious","Current","None","Tank","None","Economy","Poor","FiftyThou","False","Normal","False","Thousand","False","FiftyThou","Secure","False","Thousand","Thousand","True","Thousand","Excellent","False","Thousand","Many"
"False","Adolescent","Prole","Normal","Current","None","EggShell","Mild","SportsCar","Normal","FiveThou","True","Normal","False","Thousand","False","TwentyThou","Secure","False","Thousand","HundredThou","True","Thousand","Excellent","True","Thousand","One"
"False","Adolescent","UpperMiddle","Normal","Current","Mild","Football","Mild","FamilySedan","Normal","FiveThou","False","SubStandard","False","HundredThou","False","TwentyThou","Secure","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","One"
"False","Adolescent","UpperMiddle","Normal","Current","Severe","EggShell","None","Economy","Excellent","FiftyThou","False","Normal","False","Thousand","False","TenThou","Secure","False","TenThou","Thousand","True","Thousand","Excellent","False","Thousand","Many"
"False","Adolescent","Prole","Normal","Older","None","Tank","None","Economy","Poor","FiftyThou","False","Normal","False","Thousand","False","TenThou","Secure","True","Thousand","TenThou","True","TenThou","Fair","False","Thousand","Many"
"False","Adolescent","UpperMiddle","Normal","Older","None","Tank","None","FamilySedan","Normal","FiftyThou","False","SubStandard","False","Thousand","False","TwentyThou","Secure","False","HundredThou","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"False","Adolescent","Prole","Normal","Current","Mild","Football","Mild","FamilySedan","Poor","FiftyThou","False","Normal","False","Thousand","False","TenThou","City","False","TenThou","HundredThou","True","Thousand","Excellent","False","Thousand","Zero"
"False","Adolescent","Prole","Cautious","Older","None","Football","Mild","FamilySedan","Excellent","TwentyThou","True","SubStandard","False","Thousand","False","FiveThou","Suburb","True","Thousand","TenThou","True","Thousand","Excellent","True","Thousand","Zero"
"False","Adolescent","Middle","Cautious","Current","None","EggShell","Mild","FamilySedan","Excellent","TwentyThou","True","SubStandard","True","Thousand","False","TwentyThou","Secure","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Many"
"False","Adolescent","Middle","Adventurous","Current","Severe","Football","Severe","FamilySedan","Poor","FiftyThou","False","Normal","False","Thousand","False","TenThou","City","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","One"
"False","Adolescent","Prole","Normal","Older","None","Tank","None","FamilySedan","Excellent","FiftyThou","True","Normal","False","Thousand","False","FiveThou","Secure","False","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","One"
"False","Adolescent","Middle","Normal","Current","None","Football","None","Economy","Poor","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","City","True","Thousand","Thousand","True","Thousand","Good","False","Thousand","Many"
"False","Adolescent","Prole","Adventurous","Older","Severe","EggShell","Severe","FamilySedan","Normal","FiftyThou","False","Normal","False","TenThou","False","FiveThou","Secure","False","TenThou","Thousand","False","Thousand","Fair","False","Thousand","Many"
"False","Adolescent","Prole","Cautious","Current","None","Football","Moderate","FamilySedan","Poor","Domino","False","SubStandard","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"False","Adolescent","Prole","Cautious","Current","None","Football","None","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","FiveThou","Secure","False","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Many"
