GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
False,Adult,UpperMiddle,Normal,Older,None,Tank,Mild,SportsCar,Excellent,FiftyThou,False,SubStandard,False,Thousand,False,FiveThou,Suburb,True,TenThou,Thousand,True,Thousand,Good,True,Thousand,Zero
False,Adult,Prole,Cautious,Older,None,Tank,None,FamilySedan,Normal,FiftyThou,False,Normal,False,Thousand,False,FiveThou,Secure,False,Thousand,Thousand,True,Thousand,Excellent,False,Thousand,Many
False,Adult,Prole,Cautious,Current,None,Football,None,Economy,Poor,FiftyThou,False,Normal,True,Thousand,False,TwentyThou,Secure,True,Million,Thousand,False,Thousand,Fair,True,Thousand,Zero
False,Adolescent,Prole,Cautious,Older,None,Football,Moderate,Economy,Poor,FiveThou,False,SubStandard,False,Thousand,False,FiveThou,Secure,False,Thousand,Thousand,False,Thousand,Fair,True,Thousand,Many
False,Adult,Prole,Adventurous,Older,None,Tank,None,FamilySedan,Normal,TwentyThou,False,Normal,False,Thousand,False,FiveThou,City,False,Thousand,Thousand,False,Thousand,Fair,True,Thousand,Zero
False,Adolescent,Middle,Adventurous,Current,Mild,EggShell,None,Luxury,Poor,FiftyThou,False,Normal,False,Thousand,False,FiveThou,Suburb,True,TenThou,Thousand,False,Thousand,Poor,False,Thousand,Zero
False,Senior,Middle,Normal,Current,Moderate,Football,Moderate,SuperLuxury,Poor,FiftyThou,False,SubStandard,False,TenThou,False,FiveThou,Secure,False,Thousand,Thousand,True,Thousand,Excellent,False,Thousand,Many
False,Senior,UpperMiddle,Adventurous,Older,Moderate,Tank,Mild,FamilySedan,Normal,FiftyThou,False,SubStandard,False,Thousand,False,TwentyThou,Secure,False,Thousand,Thousand,True,HundredThou,Fair,False,Thousand,Zero
False,Adolescent,Middle,Normal,Current,None,Football,None,Economy,Normal,FiveThou,True,SubStandard,False,Thousand,False,TenThou,Suburb,True,HundredThou,Thousand,False,Thousand,Excellent,True,Thousand,Many
False,Adult,Middle,Adventurous,Current,None,EggShell,None,FamilySedan,Excellent,FiftyThou,False,Normal,False,Thousand,False,FiveThou,Secure,True,Thousand,Thousand,True,Thousand,Excellent,False,Thousand,Many
